destination,time,statusCode,extract_date,flight number,airline,sche_dept_time,day,actual_dept_time,delay_time,delay_min,delay_hour,airlines,airlines_ranking
SGN,05:55,DA,2020-12-17,VN 595,VN,1900-01-01 05:55:00,0 days 00:00:00.000000000,1900-01-01 05:44:00,0 days 00:00:00.000000000,0,0,Vietnam Airlines JSC dba Vietnam Airlines JSC,56
MNL,07:40,DA,2020-12-17,CX 907,CX,1900-01-01 07:40:00,0 days 00:00:00.000000000,1900-01-01 07:48:00,0 days 00:08:00.000000000,8,0,Cathay Pacific Airways Ltd.,4
NRT,08:25,DA,2020-12-17,CX 526,CX,1900-01-01 08:25:00,0 days 00:00:00.000000000,1900-01-01 10:53:00,0 days 02:28:00.000000000,148,120,Cathay Pacific Airways Ltd.,4
SGN,08:25,DA,2020-12-17,CX 767,CX,1900-01-01 08:25:00,0 days 00:00:00.000000000,1900-01-01 08:12:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
CTS,08:30,DA,2020-12-17,HX 6634,HX,1900-01-01 08:30:00,0 days 00:00:00.000000000,1900-01-01 08:30:00,0 days 00:00:00.000000000,0,0,Hong Kong Airlines Limited,24
SYD,08:45,DA,2020-12-17,CX 139,CX,1900-01-01 08:45:00,0 days 00:00:00.000000000,1900-01-01 08:46:00,0 days 00:01:00.000000000,1,0,Cathay Pacific Airways Ltd.,4
PEK,09:00,DA,2020-12-17,CX 386,CX,1900-01-01 09:00:00,0 days 00:00:00.000000000,1900-01-01 08:59:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
MNL,09:00,DA,2020-12-17,CX 901,CX,1900-01-01 09:00:00,0 days 00:00:00.000000000,1900-01-01 09:12:00,0 days 00:12:00.000000000,12,0,Cathay Pacific Airways Ltd.,4
PVG,09:00,DA,2020-12-17,HX 236,HX,1900-01-01 09:00:00,0 days 00:00:00.000000000,1900-01-01 09:01:00,0 days 00:01:00.000000000,1,0,Hong Kong Airlines Limited,24
TPE,09:00,DA,2020-12-17,CX 530,CX,1900-01-01 09:00:00,0 days 00:00:00.000000000,1900-01-01 08:48:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
TPE,09:05,DA,2020-12-17,HX 252,HX,1900-01-01 09:05:00,0 days 00:00:00.000000000,1900-01-01 09:11:00,0 days 00:06:00.000000000,6,0,Hong Kong Airlines Limited,24
SIN,09:20,DA,2020-12-17,CX 691,CX,1900-01-01 09:20:00,0 days 00:00:00.000000000,1900-01-01 09:30:00,0 days 00:10:00.000000000,10,0,Cathay Pacific Airways Ltd.,4
CGK,09:20,DA,2020-12-17,CX 777,CX,1900-01-01 09:20:00,0 days 00:00:00.000000000,1900-01-01 09:29:00,0 days 00:09:00.000000000,9,0,Cathay Pacific Airways Ltd.,4
MNL,09:25,DA,2020-12-17,5J 273,5J,1900-01-01 09:25:00,0 days 00:00:00.000000000,1900-01-01 09:26:00,0 days 00:01:00.000000000,1,0,"Cebu Air, Inc dba Cebu Pacific Air",100+
JFK,09:30,DA,2020-12-17,CX 830,CX,1900-01-01 09:30:00,0 days 00:00:00.000000000,1900-01-01 12:23:00,0 days 02:53:00.000000000,173,120,Cathay Pacific Airways Ltd.,4
CTS,09:30,DA,2020-12-17,HX 690,HX,1900-01-01 09:30:00,0 days 00:00:00.000000000,1900-01-01 09:30:00,0 days 00:00:00.000000000,0,0,Hong Kong Airlines Limited,24
NRT,09:40,DA,2020-12-17,UA 2864,UA,1900-01-01 09:40:00,0 days 00:00:00.000000000,1900-01-01 09:20:00,0 days 00:00:00.000000000,0,0,"United Airlines, Inc.",68
TPE,09:50,DA,2020-12-17,BR 892,BR,1900-01-01 09:50:00,0 days 00:00:00.000000000,1900-01-01 09:56:00,0 days 00:06:00.000000000,6,0,EVA Airways Corporation,6
PVG,09:55,DA,2020-12-17,CX 368,CX,1900-01-01 09:55:00,0 days 00:00:00.000000000,1900-01-01 09:52:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
TPE,10:00,DA,2020-12-17,CX 450,CX,1900-01-01 10:00:00,0 days 00:00:00.000000000,1900-01-01 09:59:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
KUL,10:00,DA,2020-12-17,D7 681,D7,1900-01-01 10:00:00,0 days 00:00:00.000000000,1900-01-01 09:50:00,0 days 00:00:00.000000000,0,0,Airasia X Berhad dba Airasia X,48
KUL,10:20,DA,2020-12-17,HX 2741,HX,1900-01-01 10:20:00,0 days 00:00:00.000000000,1900-01-01 10:22:00,0 days 00:02:00.000000000,2,0,Hong Kong Airlines Limited,24
TPE,10:25,DA,2020-12-17,CX 494,CX,1900-01-01 10:25:00,0 days 00:00:00.000000000,1900-01-01 10:22:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
NRT,10:30,DA,2020-12-17,CX 520,CX,1900-01-01 10:30:00,0 days 00:00:00.000000000,1900-01-01 10:38:00,0 days 00:08:00.000000000,8,0,Cathay Pacific Airways Ltd.,4
MEL,11:00,DA,2020-12-17,CX 163,CX,1900-01-01 11:00:00,0 days 00:00:00.000000000,1900-01-01 11:00:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
RMQ,11:00,DA,2020-12-17,UO 172,UO,1900-01-01 11:00:00,0 days 00:00:00.000000000,1900-01-01 10:56:00,0 days 00:00:00.000000000,0,0,Hong Kong Express Airways Limited,100+
TPE,11:05,DA,2020-12-17,CI 904,CI,1900-01-01 11:05:00,0 days 00:00:00.000000000,1900-01-01 13:09:00,0 days 02:04:00.000000000,124,120,China Airlines Ltd.,34
NRT,11:05,DA,2020-12-17,CX 504,CX,1900-01-01 11:05:00,0 days 00:00:00.000000000,1900-01-01 11:09:00,0 days 00:04:00.000000000,4,0,Cathay Pacific Airways Ltd.,4
FUK,11:10,DA,2020-12-17,CX 588,CX,1900-01-01 11:10:00,0 days 00:00:00.000000000,1900-01-01 11:45:00,0 days 00:35:00.000000000,35,0,Cathay Pacific Airways Ltd.,4
CGK,11:10,DA,2020-12-17,GA 8634,GA,1900-01-01 11:10:00,0 days 00:00:00.000000000,1900-01-01 11:15:00,0 days 00:05:00.000000000,5,0,PT. Garuda Indonesia (PERSERO) Tbk dba Garuda Indonesia,12
TPE,11:15,DA,2020-12-17,BR 852,BR,1900-01-01 11:15:00,0 days 00:00:00.000000000,1900-01-01 11:30:00,0 days 00:15:00.000000000,15,0,EVA Airways Corporation,6
KIX,11:30,DA,2020-12-17,HX 618,HX,1900-01-01 11:30:00,0 days 00:00:00.000000000,1900-01-01 11:21:00,0 days 00:00:00.000000000,0,0,Hong Kong Airlines Limited,24
