destination,time,statusCode,extract_date,flight number,airline,sche_dept_time,day,actual_dept_time,delay_time,delay_min,delay_hour,airlines,airlines_ranking
FRA,00:35,DA,2020-12-01,CX 289,CX,1900-01-01 00:35:00,0 days 00:00:00.000000000,1900-01-01 01:09:00,0 days 00:34:00.000000000,34,0,Cathay Pacific Airways Ltd.,4
AMS,00:50,DA,2020-12-01,CX 271,CX,1900-01-01 00:50:00,0 days 00:00:00.000000000,1900-01-01 01:08:00,0 days 00:18:00.000000000,18,0,Cathay Pacific Airways Ltd.,4
LHR,01:10,DA,2020-12-01,BA 032F,BA,1900-01-01 01:10:00,0 days 00:00:00.000000000,1900-01-01 01:34:00,0 days 00:24:00.000000000,24,0,British Airways p.l.c.,19
LHR,01:30,DA,2020-12-01,BA 028F,BA,1900-01-01 01:30:00,0 days 00:00:00.000000000,1900-01-01 01:22:00,0 days 00:00:00.000000000,0,0,British Airways p.l.c.,19
TLV,01:30,DA,2020-12-01,CX 675,CX,1900-01-01 01:30:00,0 days 00:00:00.000000000,1900-01-01 01:21:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
KIX,01:50,DA,2020-12-01,CX 566,CX,1900-01-01 01:50:00,0 days 00:00:00.000000000,1900-01-01 10:38:00,0 days 08:48:00.000000000,528,480,Cathay Pacific Airways Ltd.,4
SVO,02:00,DA,2020-12-01,FV 4502,FV,1900-01-01 02:00:00,0 days 00:00:00.000000000,1900-01-01 00:55:00,0 days 00:00:00.000000000,0,0,Rossiya Airlines JSC,100+
ICN,03:00,DA,2020-12-01,KE 612,KE,1900-01-01 03:00:00,0 days 00:00:00.000000000,1900-01-01 03:06:00,0 days 00:06:00.000000000,6,0,Korean Air Lines Co. Ltd.,35
KTM,05:45,DA,2020-12-01,RA 410,RA,1900-01-01 05:45:00,0 days 00:00:00.000000000,1900-01-01 06:14:00,0 days 00:29:00.000000000,29,0,Nepal Airlines Corporation,100+
MNL,07:40,DA,2020-12-01,CX 907,CX,1900-01-01 07:40:00,0 days 00:00:00.000000000,1900-01-01 07:38:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
CEB,08:20,DA,2020-12-01,CX 921,CX,1900-01-01 08:20:00,0 days 00:00:00.000000000,1900-01-01 08:20:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
SGN,08:25,DA,2020-12-01,CX 767,CX,1900-01-01 08:25:00,0 days 00:00:00.000000000,1900-01-01 08:20:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
PEK,09:00,DA,2020-12-01,CX 386,CX,1900-01-01 09:00:00,0 days 00:00:00.000000000,1900-01-01 09:20:00,0 days 00:20:00.000000000,20,0,Cathay Pacific Airways Ltd.,4
TPE,09:05,DA,2020-12-01,HX 252,HX,1900-01-01 09:05:00,0 days 00:00:00.000000000,1900-01-01 09:37:00,0 days 00:32:00.000000000,32,0,Hong Kong Airlines Limited,24
SIN,09:10,DA,2020-12-01,CX 691,CX,1900-01-01 09:10:00,0 days 00:00:00.000000000,1900-01-01 09:03:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
ICN,09:20,DA,2020-12-01,CX 410,CX,1900-01-01 09:20:00,0 days 00:00:00.000000000,1900-01-01 09:22:00,0 days 00:02:00.000000000,2,0,Cathay Pacific Airways Ltd.,4
LHR,09:20,DA,2020-12-01,VS 637,VS,1900-01-01 09:20:00,0 days 00:00:00.000000000,1900-01-01 09:07:00,0 days 00:00:00.000000000,0,0,Virgin Atlantic Airways Limited,21
MNL,09:25,DA,2020-12-01,5J 109,5J,1900-01-01 09:25:00,0 days 00:00:00.000000000,1900-01-01 09:17:00,0 days 00:00:00.000000000,0,0,"Cebu Air, Inc dba Cebu Pacific Air",100+
KIX,09:25,DA,2020-12-01,CX 562,CX,1900-01-01 09:25:00,0 days 00:00:00.000000000,1900-01-01 09:30:00,0 days 00:05:00.000000000,5,0,Cathay Pacific Airways Ltd.,4
KIX,09:35,DA,2020-12-01,CX 596,CX,1900-01-01 09:35:00,0 days 00:00:00.000000000,1900-01-01 09:27:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
NRT,09:40,DA,2020-12-01,UA 2864,UA,1900-01-01 09:40:00,0 days 00:00:00.000000000,1900-01-01 09:19:00,0 days 00:00:00.000000000,0,0,"United Airlines, Inc.",68
PVG,09:55,DA,2020-12-01,CX 368,CX,1900-01-01 09:55:00,0 days 00:00:00.000000000,1900-01-01 09:54:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
BNE,10:00,DA,2020-12-01,CX 157,CX,1900-01-01 10:00:00,0 days 00:00:00.000000000,1900-01-01 10:02:00,0 days 00:02:00.000000000,2,0,Cathay Pacific Airways Ltd.,4
NRT,10:30,DA,2020-12-01,CX 520,CX,1900-01-01 10:30:00,0 days 00:00:00.000000000,1900-01-01 10:39:00,0 days 00:09:00.000000000,9,0,Cathay Pacific Airways Ltd.,4
TPE,11:05,DA,2020-12-01,CI 904,CI,1900-01-01 11:05:00,0 days 00:00:00.000000000,1900-01-01 10:45:00,0 days 00:00:00.000000000,0,0,China Airlines Ltd.,34
FUK,11:10,DA,2020-12-01,CX 588,CX,1900-01-01 11:10:00,0 days 00:00:00.000000000,1900-01-01 10:59:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
SYX,11:10,DA,2020-12-01,HX 169,HX,1900-01-01 11:10:00,0 days 00:00:00.000000000,1900-01-01 10:55:00,0 days 00:00:00.000000000,0,0,Hong Kong Airlines Limited,24
TPE,11:15,DA,2020-12-01,BR 852,BR,1900-01-01 11:15:00,0 days 00:00:00.000000000,1900-01-01 11:06:00,0 days 00:00:00.000000000,0,0,EVA Airways Corporation,6
KIX,11:30,DA,2020-12-01,HX 618,HX,1900-01-01 11:30:00,0 days 00:00:00.000000000,1900-01-01 11:19:00,0 days 00:00:00.000000000,0,0,Hong Kong Airlines Limited,24
MNL,11:30,DA,2020-12-01,PR 301,PR,1900-01-01 11:30:00,0 days 00:00:00.000000000,1900-01-01 11:18:00,0 days 00:00:00.000000000,0,0,"Philippine Airlines, Inc.",30
CGK,11:40,DA,2020-12-01,GA 8734,GA,1900-01-01 11:40:00,0 days 00:00:00.000000000,1900-01-01 11:31:00,0 days 00:00:00.000000000,0,0,PT. Garuda Indonesia (PERSERO) Tbk dba Garuda Indonesia,12
KIX,11:45,DA,2020-12-01,CX 506,CX,1900-01-01 11:45:00,0 days 00:00:00.000000000,1900-01-01 11:34:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
BKK,12:00,DA,2020-12-01,CX 653,CX,1900-01-01 12:00:00,0 days 00:00:00.000000000,1900-01-01 11:57:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
PVG,12:30,DA,2020-12-01,MU 502,MU,1900-01-01 12:30:00,0 days 00:00:00.000000000,1900-01-01 12:33:00,0 days 00:03:00.000000000,3,0,China Eastern Airlines,75
SIN,12:30,DA,2020-12-01,SQ 869,SQ,1900-01-01 12:30:00,0 days 00:00:00.000000000,1900-01-01 12:15:00,0 days 00:00:00.000000000,0,0,Singapore Airlines Limited,2
VKO,12:40,DA,2020-12-01,ZF 2014,ZF,1900-01-01 12:40:00,0 days 00:00:00.000000000,1900-01-01 22:17:00,0 days 09:37:00.000000000,577,540,AZUR air Limited Liability Company,100+
KUL,12:45,DA,2020-12-01,CX 725,CX,1900-01-01 12:45:00,0 days 00:00:00.000000000,1900-01-01 12:42:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
PVG,13:00,DA,2020-12-01,HX 246,HX,1900-01-01 13:00:00,0 days 00:00:00.000000000,1900-01-01 12:40:00,0 days 00:00:00.000000000,0,0,Hong Kong Airlines Limited,24
ICN,13:15,DA,2020-12-01,OZ 722,OZ,1900-01-01 13:15:00,0 days 00:00:00.000000000,1900-01-01 13:11:00,0 days 00:00:00.000000000,0,0,Asiana Airlines Inc.,28
TPE,13:35,DA,2020-12-01,BR 868,BR,1900-01-01 13:35:00,0 days 00:00:00.000000000,1900-01-01 13:18:00,0 days 00:00:00.000000000,0,0,EVA Airways Corporation,6
PVG,13:40,DA,2020-12-01,CX 360,CX,1900-01-01 13:40:00,0 days 00:00:00.000000000,1900-01-01 13:35:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
TPE,13:55,DA,2020-12-01,HX 254,HX,1900-01-01 13:55:00,0 days 00:00:00.000000000,1900-01-01 13:47:00,0 days 00:00:00.000000000,0,0,Hong Kong Airlines Limited,24
NRT,14:00,DA,2020-12-01,AA 9741,AA,1900-01-01 14:00:00,0 days 00:00:00.000000000,1900-01-01 13:43:00,0 days 00:00:00.000000000,0,0,American Airlines Inc.,74
ICN,14:05,DA,2020-12-01,CX 418,CX,1900-01-01 14:05:00,0 days 00:00:00.000000000,1900-01-01 14:12:00,0 days 00:07:00.000000000,7,0,Cathay Pacific Airways Ltd.,4
TPE,14:10,DA,2020-12-01,CI 910,CI,1900-01-01 14:10:00,0 days 00:00:00.000000000,1900-01-01 13:38:00,0 days 00:00:00.000000000,0,0,China Airlines Ltd.,34
SIN,14:10,DA,2020-12-01,TR 979,TR,1900-01-01 14:10:00,0 days 00:00:00.000000000,1900-01-01 13:46:00,0 days 00:00:00.000000000,0,0,Scoot Tigerair Pte. Ltd dba Scoot,64
MNL,14:20,DA,2020-12-01,CX 919,CX,1900-01-01 14:20:00,0 days 00:00:00.000000000,1900-01-01 16:02:00,0 days 01:42:00.000000000,102,60,Cathay Pacific Airways Ltd.,4
HAN,14:30,DA,2020-12-01,HX 528,HX,1900-01-01 14:30:00,0 days 00:00:00.000000000,1900-01-01 21:15:00,0 days 06:45:00.000000000,405,360,Hong Kong Airlines Limited,24
BKK,14:40,DA,2020-12-01,FD 9001,FD,1900-01-01 14:40:00,0 days 00:00:00.000000000,1900-01-01 14:22:00,0 days 00:00:00.000000000,0,0,"Thai AirAsia Co., Ltd.",10
HND,14:55,DA,2020-12-01,NH 860,NH,1900-01-01 14:55:00,0 days 00:00:00.000000000,1900-01-01 14:46:00,0 days 00:00:00.000000000,0,0,All Nippon Airways Co. Ltd.,3
BWN,14:55,DA,2020-12-01,BI 636,BI,1900-01-01 14:55:00,0 days 00:00:00.000000000,1900-01-01 14:34:00,0 days 00:00:00.000000000,0,0,Royal Brunei Airlines Sdn. Bhd.,66
NRT,15:20,DA,2020-12-01,NH 9646,NH,1900-01-01 15:20:00,0 days 00:00:00.000000000,1900-01-01 15:10:00,0 days 00:00:00.000000000,0,0,All Nippon Airways Co. Ltd.,3
AKL,15:20,DA,2020-12-01,CX 199,CX,1900-01-01 15:20:00,0 days 00:00:00.000000000,1900-01-01 15:16:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
RMQ,15:40,DA,2020-12-01,AE 1820,AE,1900-01-01 15:40:00,0 days 00:00:00.000000000,1900-01-01 15:33:00,0 days 00:00:00.000000000,0,0,Mandarin Airlines Ltd.,100+
SIN,15:45,DA,2020-12-01,SQ 861,SQ,1900-01-01 15:45:00,0 days 00:00:00.000000000,1900-01-01 15:17:00,0 days 00:00:00.000000000,0,0,Singapore Airlines Limited,2
HND,15:55,DA,2020-12-01,JL 026,JL,1900-01-01 15:55:00,0 days 00:00:00.000000000,1900-01-01 15:39:00,0 days 00:00:00.000000000,0,0,"Japan Airlines Co., Ltd.",11
KHH,16:10,DA,2020-12-01,CI 936,CI,1900-01-01 16:10:00,0 days 00:00:00.000000000,1900-01-01 15:10:00,0 days 00:00:00.000000000,0,0,China Airlines Ltd.,34
BKK,16:10,DA,2020-12-01,CX 701,CX,1900-01-01 16:10:00,0 days 00:00:00.000000000,1900-01-01 16:14:00,0 days 00:04:00.000000000,4,0,Cathay Pacific Airways Ltd.,4
XMN,16:10,DA,2020-12-01,MF 382,MF,1900-01-01 16:10:00,0 days 00:00:00.000000000,1900-01-01 17:15:00,0 days 01:05:00.000000000,65,60,Xiamen Airlines,100+
DXB,16:30,DA,2020-12-01,CX 731,CX,1900-01-01 16:30:00,0 days 00:00:00.000000000,1900-01-01 17:06:00,0 days 00:36:00.000000000,36,0,Cathay Pacific Airways Ltd.,4
SGN,16:50,DA,2020-12-01,CX 799,CX,1900-01-01 16:50:00,0 days 00:00:00.000000000,1900-01-01 16:48:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
HAN,17:30,DA,2020-12-01,CX 743,CX,1900-01-01 17:30:00,0 days 00:00:00.000000000,1900-01-01 18:31:00,0 days 01:01:00.000000000,61,60,Cathay Pacific Airways Ltd.,4
TPE,17:45,DA,2020-12-01,CI 916,CI,1900-01-01 17:45:00,0 days 00:00:00.000000000,1900-01-01 17:34:00,0 days 00:00:00.000000000,0,0,China Airlines Ltd.,34
TPE,18:30,DA,2020-12-01,CX 402,CX,1900-01-01 18:30:00,0 days 00:00:00.000000000,1900-01-01 18:32:00,0 days 00:02:00.000000000,2,0,Cathay Pacific Airways Ltd.,4
KHH,18:50,DA,2020-12-01,CI 938,CI,1900-01-01 18:50:00,0 days 00:00:00.000000000,1900-01-01 17:59:00,0 days 00:00:00.000000000,0,0,China Airlines Ltd.,34
SYD,18:55,DA,2020-12-01,CX 111,CX,1900-01-01 18:55:00,0 days 00:00:00.000000000,1900-01-01 20:00:00,0 days 01:05:00.000000000,65,60,Cathay Pacific Airways Ltd.,4
CGK,19:05,DA,2020-12-01,CX 797,CX,1900-01-01 19:05:00,0 days 00:00:00.000000000,1900-01-01 18:55:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
DOH,19:05,DA,2020-12-01,QR 817,QR,1900-01-01 19:05:00,0 days 00:00:00.000000000,1900-01-01 19:01:00,0 days 00:00:00.000000000,0,0,Qatar Airways (Q.C.S.C.),1
SIN,19:15,DA,2020-12-01,TR 981,TR,1900-01-01 19:15:00,0 days 00:00:00.000000000,1900-01-01 19:12:00,0 days 00:00:00.000000000,0,0,Scoot Tigerair Pte. Ltd dba Scoot,64
MNL,19:35,DA,2020-12-01,5J 117,5J,1900-01-01 19:35:00,0 days 00:00:00.000000000,1900-01-01 19:24:00,0 days 00:00:00.000000000,0,0,"Cebu Air, Inc dba Cebu Pacific Air",100+
TPE,19:40,DA,2020-12-01,BR 872,BR,1900-01-01 19:40:00,0 days 00:00:00.000000000,1900-01-01 19:23:00,0 days 00:00:00.000000000,0,0,EVA Airways Corporation,6
JFK,19:45,DA,2020-12-01,CX 846,CX,1900-01-01 19:45:00,0 days 00:00:00.000000000,1900-01-01 19:48:00,0 days 00:03:00.000000000,3,0,Cathay Pacific Airways Ltd.,4
DEL,20:10,DA,2020-12-01,5M 774,5M,1900-01-01 20:10:00,0 days 00:00:00.000000000,1900-01-01 21:41:00,0 days 01:31:00.000000000,91,60,Mediterranean Aviation Operations Company Ltd. dba MedOps,100+
PVG,21:00,DA,2020-12-01,HX 234,HX,1900-01-01 21:00:00,0 days 00:00:00.000000000,1900-01-01 20:52:00,0 days 00:00:00.000000000,0,0,Hong Kong Airlines Limited,24
DOH,21:00,DA,2020-12-01,QR 8593,QR,1900-01-01 21:00:00,0 days 00:00:00.000000000,1900-01-01 20:43:00,0 days 00:00:00.000000000,0,0,Qatar Airways (Q.C.S.C.),1
BKK,21:00,DA,2020-12-01,EK 385,EK,1900-01-01 21:00:00,0 days 00:00:00.000000000,1900-01-01 20:29:00,0 days 00:00:00.000000000,0,0,Emirates,5
TPE,21:10,DA,2020-12-01,CI 924,CI,1900-01-01 21:10:00,0 days 00:00:00.000000000,1900-01-01 20:14:00,0 days 00:00:00.000000000,0,0,China Airlines Ltd.,34
TPE,21:10,DA,2020-12-01,BR 858,BR,1900-01-01 21:10:00,0 days 00:00:00.000000000,1900-01-01 20:54:00,0 days 00:00:00.000000000,0,0,EVA Airways Corporation,6
BKK,21:20,DA,2020-12-01,KL 848,KL,1900-01-01 21:20:00,0 days 00:00:00.000000000,1900-01-01 21:06:00,0 days 00:00:00.000000000,0,0,KLM,18
AKL,21:25,DA,2020-12-01,CX 113,CX,1900-01-01 21:25:00,0 days 00:00:00.000000000,1900-01-01 21:26:00,0 days 00:01:00.000000000,1,0,Cathay Pacific Airways Ltd.,4
GUM,21:25,DA,2020-12-01,UA 2851,UA,1900-01-01 21:25:00,0 days 00:00:00.000000000,1900-01-01 21:12:00,0 days 00:00:00.000000000,0,0,"United Airlines, Inc.",68
TPE,21:40,DA,2020-12-01,CI 928,CI,1900-01-01 21:40:00,0 days 00:00:00.000000000,1900-01-01 21:18:00,0 days 00:00:00.000000000,0,0,China Airlines Ltd.,34
YVR,21:50,DA,2020-12-01,AC 7206,AC,1900-01-01 21:50:00,0 days 00:00:00.000000000,1900-01-01 21:37:00,0 days 00:00:00.000000000,0,0,Air Canada,31
HGH,21:50,DA,2020-12-01,HX 128,HX,1900-01-01 21:50:00,0 days 00:00:00.000000000,1900-01-01 21:40:00,0 days 00:00:00.000000000,0,0,Hong Kong Airlines Limited,24
TLV,22:00,DA,2020-12-01,LY 076,LY,1900-01-01 22:00:00,0 days 00:00:00.000000000,1900-01-01 21:52:00,0 days 00:00:00.000000000,0,0,El Al Israel Airlines Ltd.,100+
TPE,22:40,DA,2020-12-01,CI 922,CI,1900-01-01 22:40:00,0 days 00:00:00.000000000,1900-01-01 22:36:00,0 days 00:00:00.000000000,0,0,China Airlines Ltd.,34
IST,23:05,DA,2020-12-01,TK 071,TK,1900-01-01 23:05:00,0 days 00:00:00.000000000,1900-01-01 22:38:00,0 days 00:00:00.000000000,0,0,Turkish Airlines Inc.,27
LHR,23:45,DA,2020-12-01,BA 028,BA,1900-01-01 23:45:00,1 days 00:00:00.000000000,1900-01-01 00:16:00,0 days 00:31:00.000000000,31,0,British Airways p.l.c.,19
LHR,23:50,DA,2020-12-01,VS 207,VS,1900-01-01 23:50:00,1 days 00:00:00.000000000,1900-01-01 00:05:00,0 days 00:15:00.000000000,15,0,Virgin Atlantic Airways Limited,21
SYD,23:55,DA,2020-12-01,CX 101,CX,1900-01-01 23:55:00,0 days 00:00:00.000000000,1900-01-01 23:54:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
LHR,23:55,DA,2020-12-01,CX 251,CX,1900-01-01 23:55:00,1 days 00:00:00.000000000,1900-01-01 00:50:00,0 days 00:55:00.000000000,55,0,Cathay Pacific Airways Ltd.,4
MEL,00:05,DA,2020-12-02,CX 105,CX,1900-01-01 00:05:00,0 days 00:00:00.000000000,1900-01-01 00:03:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
LAX,00:15,DA,2020-12-02,CX 880,CX,1900-01-01 00:15:00,0 days 00:00:00.000000000,1900-01-01 00:11:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
DOH,00:30,DA,2020-12-02,QR 8343,QR,1900-01-01 00:30:00,0 days 00:00:00.000000000,1900-01-01 00:12:00,0 days 00:00:00.000000000,0,0,Qatar Airways (Q.C.S.C.),1
FRA,00:35,DA,2020-12-02,CX 289,CX,1900-01-01 00:35:00,0 days 00:00:00.000000000,1900-01-01 01:13:00,0 days 00:38:00.000000000,38,0,Cathay Pacific Airways Ltd.,4
AMS,00:50,DA,2020-12-02,CX 271,CX,1900-01-01 00:50:00,0 days 00:00:00.000000000,1900-01-01 01:33:00,0 days 00:43:00.000000000,43,0,Cathay Pacific Airways Ltd.,4
SFO,00:55,DA,2020-12-02,CX 872,CX,1900-01-01 00:55:00,0 days 00:00:00.000000000,1900-01-01 01:10:00,0 days 00:15:00.000000000,15,0,Cathay Pacific Airways Ltd.,4
ICN,00:55,DA,2020-12-02,KE 608,KE,1900-01-01 00:55:00,0 days 00:00:00.000000000,1900-01-01 00:36:00,0 days 00:00:00.000000000,0,0,Korean Air Lines Co. Ltd.,35
LHR,01:00,DA,2020-12-02,CX 255,CX,1900-01-01 01:00:00,0 days 00:00:00.000000000,1900-01-01 03:25:00,0 days 02:25:00.000000000,145,120,Cathay Pacific Airways Ltd.,4
YVR,01:00,DA,2020-12-02,CX 888,CX,1900-01-01 01:00:00,0 days 00:00:00.000000000,1900-01-01 00:57:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
LHR,01:10,DA,2020-12-02,BA 032F,BA,1900-01-01 01:10:00,0 days 00:00:00.000000000,1900-01-01 01:20:00,0 days 00:10:00.000000000,10,0,British Airways p.l.c.,19
MNL,02:15,DA,2020-12-02,HX 781,HX,1900-01-01 02:15:00,0 days 00:00:00.000000000,1900-01-01 02:11:00,0 days 00:00:00.000000000,0,0,Hong Kong Airlines Limited,24
NAN,03:00,DA,2020-12-02,FJ 1392,FJ,1900-01-01 03:00:00,0 days 00:00:00.000000000,1900-01-01 03:07:00,0 days 00:07:00.000000000,7,0,Air Pacific Limited t/a Fiji Airway,45
ICN,03:00,DA,2020-12-02,KE 612,KE,1900-01-01 03:00:00,0 days 00:00:00.000000000,1900-01-01 02:56:00,0 days 00:00:00.000000000,0,0,Korean Air Lines Co. Ltd.,35
ICN,04:00,DA,2020-12-02,KE 8608,KE,1900-01-01 04:00:00,0 days 00:00:00.000000000,1900-01-01 03:38:00,0 days 00:00:00.000000000,0,0,Korean Air Lines Co. Ltd.,35
SYD,05:00,DA,2020-12-02,HX 2017,HX,1900-01-01 05:00:00,0 days 00:00:00.000000000,1900-01-01 04:45:00,0 days 00:00:00.000000000,0,0,Hong Kong Airlines Limited,24
VKO,05:40,DA,2020-12-02,RL 9954,RL,1900-01-01 05:40:00,0 days 00:00:00.000000000,1900-01-01 05:26:00,0 days 00:00:00.000000000,0,0,JSC Royal Flight Airlines,100+
ICN,05:55,DA,2020-12-02,AM 9021,AM,1900-01-01 05:55:00,0 days 00:00:00.000000000,1900-01-01 05:55:00,0 days 00:00:00.000000000,0,0,Aeromexico,100+
MNL,07:40,DA,2020-12-02,CX 907,CX,1900-01-01 07:40:00,0 days 00:00:00.000000000,1900-01-01 07:46:00,0 days 00:06:00.000000000,6,0,Cathay Pacific Airways Ltd.,4
SGN,08:25,DA,2020-12-02,CX 767,CX,1900-01-01 08:25:00,0 days 00:00:00.000000000,1900-01-01 08:19:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
PEK,08:30,DA,2020-12-02,HX 336,HX,1900-01-01 08:30:00,0 days 00:00:00.000000000,1900-01-01 08:44:00,0 days 00:14:00.000000000,14,0,Hong Kong Airlines Limited,24
PEK,09:00,DA,2020-12-02,CX 386,CX,1900-01-01 09:00:00,0 days 00:00:00.000000000,1900-01-01 08:58:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
MNL,09:00,DA,2020-12-02,CX 901,CX,1900-01-01 09:00:00,0 days 00:00:00.000000000,1900-01-01 08:42:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
PVG,09:00,DA,2020-12-02,HX 236,HX,1900-01-01 09:00:00,0 days 00:00:00.000000000,1900-01-01 08:55:00,0 days 00:00:00.000000000,0,0,Hong Kong Airlines Limited,24
TPE,09:05,DA,2020-12-02,HX 252,HX,1900-01-01 09:05:00,0 days 00:00:00.000000000,1900-01-01 09:08:00,0 days 00:03:00.000000000,3,0,Hong Kong Airlines Limited,24
ICN,09:20,DA,2020-12-02,CX 410,CX,1900-01-01 09:20:00,0 days 00:00:00.000000000,1900-01-01 09:10:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
LHR,09:20,DA,2020-12-02,VS 637,VS,1900-01-01 09:20:00,0 days 00:00:00.000000000,1900-01-01 09:18:00,0 days 00:00:00.000000000,0,0,Virgin Atlantic Airways Limited,21
CGK,09:20,DA,2020-12-02,CX 777,CX,1900-01-01 09:20:00,0 days 00:00:00.000000000,1900-01-01 09:27:00,0 days 00:07:00.000000000,7,0,Cathay Pacific Airways Ltd.,4
CMB,09:25,DA,2020-12-02,UL 897,UL,1900-01-01 09:25:00,0 days 00:00:00.000000000,1900-01-01 09:04:00,0 days 00:00:00.000000000,0,0,SriLankan Airlines Limited,100+
SVO,09:30,DA,2020-12-02,RL 9924,RL,1900-01-01 09:30:00,0 days 00:00:00.000000000,1900-01-01 13:38:00,0 days 04:08:00.000000000,248,240,JSC Royal Flight Airlines,100+
NRT,09:30,DA,2020-12-02,HX 608,HX,1900-01-01 09:30:00,0 days 00:00:00.000000000,1900-01-01 09:18:00,0 days 00:00:00.000000000,0,0,Hong Kong Airlines Limited,24
CTS,09:30,DA,2020-12-02,HX 690,HX,1900-01-01 09:30:00,0 days 00:00:00.000000000,1900-01-01 09:31:00,0 days 00:01:00.000000000,1,0,Hong Kong Airlines Limited,24
NRT,09:40,DA,2020-12-02,UA 2864,UA,1900-01-01 09:40:00,0 days 00:00:00.000000000,1900-01-01 09:16:00,0 days 00:00:00.000000000,0,0,"United Airlines, Inc.",68
PVG,09:55,DA,2020-12-02,CX 368,CX,1900-01-01 09:55:00,0 days 00:00:00.000000000,1900-01-01 09:57:00,0 days 00:02:00.000000000,2,0,Cathay Pacific Airways Ltd.,4
TPE,10:50,DA,2020-12-02,BR 892,BR,1900-01-01 10:50:00,0 days 00:00:00.000000000,1900-01-01 10:58:00,0 days 00:08:00.000000000,8,0,EVA Airways Corporation,6
TPE,11:05,DA,2020-12-02,CI 904,CI,1900-01-01 11:05:00,0 days 00:00:00.000000000,1900-01-01 10:49:00,0 days 00:00:00.000000000,0,0,China Airlines Ltd.,34
TPE,11:15,DA,2020-12-02,BR 852,BR,1900-01-01 11:15:00,0 days 00:00:00.000000000,1900-01-01 11:17:00,0 days 00:02:00.000000000,2,0,EVA Airways Corporation,6
MNL,11:30,DA,2020-12-02,PR 301,PR,1900-01-01 11:30:00,0 days 00:00:00.000000000,1900-01-01 11:09:00,0 days 00:00:00.000000000,0,0,"Philippine Airlines, Inc.",30
CGK,11:40,DA,2020-12-02,GA 8734,GA,1900-01-01 11:40:00,0 days 00:00:00.000000000,1900-01-01 11:54:00,0 days 00:14:00.000000000,14,0,PT. Garuda Indonesia (PERSERO) Tbk dba Garuda Indonesia,12
KIX,11:45,DA,2020-12-02,CX 506,CX,1900-01-01 11:45:00,0 days 00:00:00.000000000,1900-01-01 11:39:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
BKK,12:00,DA,2020-12-02,CX 653,CX,1900-01-01 12:00:00,0 days 00:00:00.000000000,1900-01-01 11:58:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
SIN,12:30,DA,2020-12-02,SQ 891,SQ,1900-01-01 12:30:00,0 days 00:00:00.000000000,1900-01-01 12:31:00,0 days 00:01:00.000000000,1,0,Singapore Airlines Limited,2
KUL,12:45,DA,2020-12-02,CX 725,CX,1900-01-01 12:45:00,0 days 00:00:00.000000000,1900-01-01 12:51:00,0 days 00:06:00.000000000,6,0,Cathay Pacific Airways Ltd.,4
TPE,13:35,DA,2020-12-02,BR 868,BR,1900-01-01 13:35:00,0 days 00:00:00.000000000,1900-01-01 13:03:00,0 days 00:00:00.000000000,0,0,EVA Airways Corporation,6
PVG,13:40,DA,2020-12-02,CX 360,CX,1900-01-01 13:40:00,0 days 00:00:00.000000000,1900-01-01 13:37:00,0 days 00:00:00.000000000,0,0,Cathay Pacific Airways Ltd.,4
TPE,13:40,DA,2020-12-02,HX 254,HX,1900-01-01 13:40:00,0 days 00:00:00.000000000,1900-01-01 13:39:00,0 days 00:00:00.000000000,0,0,Hong Kong Airlines Limited,24
